"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Serpina3c",2245,1773,137,2068,1198,0,21,0,0,5,0,0,0,0,50
"Serpina3f",266,286,156,214,267,15,20,55,4,31,0,37,30,0,11
"Serpina3g",868,1387,520,891,1245,194,123,429,313,175,919,1059,965,237,548
"Serpina3h",46,52,0,45,92,0,0,4,0,0,0,14,0,1,0
"Serpina3i",79,17,38,67,84,0,0,8,0,0,0,0,0,10,0
"Serpina3j",0,0,0,0,0,0,0,0,0,0,0,16,15,0,0
"Serpina3k",11,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Serpina3m",25,75,45,53,192,0,7,0,0,0,0,0,0,0,0
"Serpina3n",7718,5036,2759,8037,10088,23,53,24,20,63,37,12,71,40,487
"Serpina4-ps1",0,0,0,0,9,1,0,0,0,8,0,0,4,0,0
"Serpina5",0,0,0,0,3,5,6,0,3,7,45,14,0,0,0
"Serpina6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina7",0,0,0,0,0,7,5,6,2,0,0,5,0,0,8
"Serpina9",0,0,146,0,11,221,163,240,194,143,32,0,76,42,110
"Serpinb10",0,5,0,6,8,4,9,0,20,7,30,0,22,2,31
"Serpinb11",3,9,279,14,86,458,351,259,430,236,117,16,133,90,42
"Serpinb12",0,0,0,0,0,6,0,5,1,0,12,0,0,0,0
"Serpinb13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb1a",1014,1680,2591,1192,2912,7346,2804,5368,6527,4166,5813,4346,6011,3362,3666
"Serpinb1b",0,0,29,5,280,2,4,0,10,10,28,41,39,103,147
"Serpinb1c",0,0,0,0,0,1,0,9,0,0,6,0,0,0,0
"Serpinb2",3,0,1811,43,3565,8439,6510,2302,7997,6268,11591,1002,20095,11351,6137
"Serpinb3a",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Serpinb3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb3d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb5",129,151,4354,190,2031,10366,4514,6584,9647,5694,4053,937,5318,1124,2077
"Serpinb6a",9630,9199,8321,10885,9698,11863,6802,10303,10735,7519,6513,4956,7962,4864,5386
"Serpinb6b",467,1212,402,815,2497,225,185,452,319,179,1180,444,1556,469,1670
"Serpinb6c",59,121,5,152,78,0,4,0,0,2,1,0,0,0,11
"Serpinb6d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb6e",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb7",0,5,9,0,23,0,0,0,0,0,0,0,0,0,0
"Serpinb8",605,760,2300,647,2403,3314,2631,2022,3617,3001,3046,2183,4419,2755,1961
"Serpinb9",2649,4613,3931,4089,15162,1007,629,2172,1001,1080,3956,2558,5757,2962,8077
"Serpinb9b",3,14,15,69,362,0,0,0,2,3,0,0,9,21,169
"Serpinb9c",1,0,0,0,5,0,6,0,0,0,0,0,0,0,0
"Serpinb9d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb9e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpinb9f",0,0,0,0,22,0,0,0,0,1,0,0,0,0,0
"Serpinb9g",0,0,0,0,16,0,1,0,0,0,0,0,0,0,0
"Serpinc1",1,56,4,14,31,21,22,30,14,15,4,9,20,25,6
"Serpind1",2,30,0,11,41,4,7,1,14,3,5,0,0,0,4
"Serpine1",981,563,45,986,426,27,10,19,11,11,83,31,52,11,59
"Serpine2",36458,31930,33083,38485,30675,15882,28848,38175,14345,25758,22731,43536,17248,31772,26933
"Serpine3",13,18,58,34,48,57,57,56,65,53,73,54,76,19,44
"Serpinf1",29653,24690,3980,30019,13032,37,55,285,61,76,205,249,358,107,683
"Serpinf2",0,1,20,9,34,0,6,0,12,3,0,35,14,43,19
"Serping1",266753,181453,18402,264438,116595,161,368,231,226,1055,1840,1474,2500,2716,16696
"Serpinh1",48136,71697,14232,49243,59373,195,430,439,140,733,1704,2373,1098,2763,15057
"Serpini1",635,814,553,745,1036,102,313,110,116,428,273,616,178,650,761
"Serpini2",0,0,0,6,11,0,0,0,0,0,0,0,0,0,0
"Sertad1",19838,12817,14562,19971,14178,21695,11414,16011,20636,14204,24360,11855,32366,20435,20094
"Sertad2",2295,1504,3650,2664,3696,4172,3043,3048,4064,3035,1967,1647,3259,2095,2967
"Sertad3",764,760,723,888,1026,905,449,766,899,697,771,594,1320,337,730
"Sertad4",2869,6352,1712,2795,3360,1307,1185,1130,1200,1009,764,863,1127,1653,1535
"Sertm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sesn1",3455,3768,1829,3714,2335,1826,1367,2087,1567,2315,987,1141,1984,1382,1817
"Sesn2",4027,3192,6144,4520,5157,8141,5414,4767,8439,3887,5559,2920,6539,7370,6567
"Sesn3",449,549,786,600,912,1077,892,975,876,1092,1126,999,1414,1339,926
"Sestd1",2924,2608,1099,3282,2517,535,565,783,773,424,606,567,877,276,575
"Set",3467,3630,5801,4689,6796,7331,5689,6913,6320,6760,6105,5723,7041,4407,5713
"Setbp1",2211,2061,1560,2022,3015,1764,1236,1767,1602,1160,1258,823,1303,435,1622
"Setd1a",266,100,167,205,374,137,176,161,107,181,72,60,85,226,312
"Setd1b",129,129,99,115,285,70,64,95,60,71,20,102,86,65,145
"Setd2",3472,5089,4092,4617,6593,8316,4887,6450,8399,4884,5910,4414,7143,2260,3608
"Setd3",3950,3902,6906,5040,5106,8104,5626,7795,7872,6502,6902,6813,7611,6258,5654
"Setd4",277,326,150,307,141,112,62,106,92,111,119,93,185,109,138
"Setd5",1313,1878,3497,1943,3485,4742,3753,3990,5043,3854,2710,2781,3162,2929,3283
"Setd6",972,1035,1408,1001,1105,1303,1037,1550,1024,1203,1254,1220,1496,1041,1241
"Setd7",540,397,342,633,831,495,400,410,456,490,642,327,619,560,593
"Setd8",1945,3158,10298,2993,8075,21935,12169,15244,21730,12848,13769,8369,15362,6210,8657
"Setdb1",1357,1803,3284,1953,3286,3464,2923,3893,3575,3627,2555,2839,2898,3616,2834
"Setdb2",638,1217,779,844,1747,1043,679,1535,802,1185,844,1259,944,841,729
"Setmar",95,186,168,155,167,241,79,257,113,203,94,270,234,114,107
"Setx",3472,3329,4061,4076,7210,5204,4396,6178,5634,4767,3428,3120,5234,1543,3091
"Sez6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sez6l",8,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"Sez6l2",15,27,4,5,59,14,0,6,28,6,3,3,8,21,32
"Sf1",8670,10479,23148,10815,18643,26013,19973,19156,26326,17313,16545,11057,18655,24209,21453
"Sf3a1",2052,3857,4213,1828,4120,3386,3248,3959,3375,3394,2010,3464,2727,4394,3942
"Sf3a2",748,1253,2511,905,1907,2402,2074,2233,2100,1771,1399,1170,1656,2085,2480
"Sf3a3",2535,2839,4203,2975,4037,4140,3316,4832,3818,4285,3549,4324,4181,3547,3741
"Sf3b1",36507,28507,31281,46382,42194,47931,29954,39402,45854,33155,34328,26139,45831,21020,22842
"Sf3b2",9425,11421,14778,9906,14893,12092,10743,15299,11188,12799,9667,11598,11269,12346,14216
"Sf3b3",5771,9157,13822,7158,9997,16805,11572,14314,18057,12134,11153,8457,13739,15872,14078
"Sf3b4",941,1321,2659,1210,2084,2730,2336,2550,3038,2005,1999,1516,2066,2885,2597
"Sf3b5",1898,1473,1872,1791,2418,1331,1592,1655,982,1645,1765,2215,1721,1778,2191
"Sfi1",1110,1205,1097,904,1501,1596,1041,2056,1578,1463,984,750,1089,664,1141
"Sfmbt1",971,1622,3299,1472,3121,2620,1841,2626,2500,2735,1972,2390,2228,2087,1686
"Sfmbt2",186,151,0,68,106,13,0,0,0,0,39,65,0,0,0
"Sfn",447,802,7833,470,3085,16857,7127,11655,15990,5701,7564,2405,9944,4531,4542
"Sfpi1",987,2308,2017,1106,4211,391,406,335,470,563,1733,1715,2250,500,1349
"Sfpq",3560,4234,7371,3572,7830,8909,7272,6867,8026,6404,5813,4522,7411,8185,7799
"Sfr1",10331,8114,6477,11784,7943,7782,5664,6908,7576,5500,5290,5504,7123,3931,5469
"Sfrp1",12335,15070,4963,16670,17925,635,471,557,635,532,458,123,590,219,1012
"Sfrp2",10116,11308,758,8332,5144,15,34,6,20,62,422,480,429,121,1107
"Sfrp4",3438,1453,1642,3985,4335,0,5,0,13,31,12,0,18,56,222
"Sfrp5",40,143,18,1,22,8,0,10,12,3,22,6,2,2,3
"Sfrs18",5640,4445,3753,6312,6106,5631,3909,4490,5377,4353,4055,3663,6273,1282,2367
"Sfswap",1443,999,1772,1403,1939,1975,1374,1655,2143,1465,1453,915,1542,1512,2040
"Sft2d1",269,276,619,334,562,737,530,707,676,543,667,771,695,478,497
"Sft2d2",2045,5517,20691,3332,12804,21738,17050,29016,21547,20790,20241,22174,22441,19473,20789
"Sft2d3",1033,810,882,927,971,872,798,871,620,737,783,979,884,827,743
"Sfta2",0,0,7,0,0,0,6,0,0,2,1,0,0,3,2
"Sftpa1",0,4,0,0,6,0,0,0,0,0,1,0,0,0,0
"Sftpb",1,0,7,0,0,0,0,0,0,0,0,2,0,14,0
"Sftpc",0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
"Sftpd",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"Sfxn1",4847,4437,5571,4530,6226,5868,4904,6239,4978,5821,4704,5572,4824,4494,4965
"Sfxn2",881,643,2298,959,2078,3317,2320,3501,3152,2911,3278,2953,3572,2036,2313
"Sfxn3",5042,5649,2128,4288,2787,1936,1073,3056,2124,1255,2397,3091,2149,1564,1719
"Sfxn4",298,224,102,346,190,145,80,98,116,119,108,97,167,39,111
"Sfxn5",55,16,55,57,104,54,92,57,41,50,27,91,119,67,145
"Sgca",19,16,1,0,0,0,9,0,0,0,0,0,0,10,23
"Sgcb",3466,4411,438,3612,2636,280,226,283,264,237,309,569,523,290,383
"Sgcd",692,713,174,1140,401,0,2,0,10,2,4,11,3,8,53
"Sgce",10551,8431,669,12948,4993,62,37,138,40,78,256,258,152,250,1155
"Sgcg",79,40,0,67,25,3,0,0,0,0,0,0,19,0,30
"Sgcz",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"Sgip1",328,256,5,676,51,7,3,19,10,5,40,60,15,0,60
"Sgk1",23767,19081,83838,29978,54671,107022,90142,99516,103916,94976,79196,85865,92404,124295,94590
"Sgk2",0,12,2,0,33,16,24,3,3,16,24,0,19,0,0
"Sgk3",1659,3150,1765,2404,2750,2520,1745,2971,2107,2283,2024,2834,2389,470,1387
"Sgms1",2814,4246,6642,4559,5334,8999,6816,7718,8314,5544,4074,4328,6491,4935,5079
"Sgms2",3995,3130,25836,5120,10950,29444,22500,25014,29565,16690,16364,12869,21040,19105,13227
"Sgol1",116,375,1013,217,1065,453,943,1169,317,1321,196,733,198,357,620
"Sgol2",460,482,338,519,1365,181,716,793,167,883,73,230,180,12,621
"Sgpl1",8745,12272,13417,11627,17348,10289,5530,10654,10094,7692,8544,7631,10800,5842,8484
"Sgpp1",7814,9236,19455,8753,13689,19606,17120,27592,18003,23941,19968,27054,20086,13296,15935
"Sgpp2",29,40,51,14,17,33,20,60,71,41,35,36,52,3,2
"Sgsh",465,565,391,398,719,406,253,459,339,442,265,541,193,243,595
"Sgsm1",0,24,191,86,376,731,501,995,731,840,218,254,458,141,345
"Sgsm2",914,1536,1737,967,1877,1478,1181,1536,1506,1717,1171,1485,1365,2771,1394
"Sgsm3",663,904,4672,676,2849,5828,3852,5195,5683,4518,4589,4966,5124,5443,4586
