#1.2							
16155	6						
NAME	Description	A-Erg3	A-Erg4	A-Erg5	A-Nrm4	A-Nrm5	A-Nrm6
ACRBP	NA	67	112	95	803	490	104
ACRV1	NA	0	0	6	63	19	2
ACSBG1	NA	195	1357	1933	27	142	83
ACSBG2	NA	7	6	32	2	15	0
ACSF2	NA	56	69	109	47	49	60
ACSF3	NA	119	312	188	208	216	126
ACSL1	NA	1923	1161	1822	1399	1384	677
ACSL3	NA	457	195	461	1195	1265	1058
ACSL4	NA	5585	4536	5316	5973	4812	5974
ACSL5	NA	2412	2587	3108	4677	3632	2619
ACSL6	NA	7	0	7	1	10	46
ACSM1	NA	0	2	2	0	4	0
ACSM2A	NA	1	4	20	0	4	0
ACSM3	NA	8	14	11	35	67	9
ACSM4	NA	7	7	1	0	2	0
ACSM5	NA	0	8	7	1	11	0
ACSS1	NA	862	1064	1496	539	428	401
ACSS2	NA	107	348	346	307	334	328
ACSS3	NA	64	5	6	898	638	269
ACTA1	NA	7	14	2	49	744	19
ACTA2	NA	11314	617	702	8312	42502	6979
ACTB	NA	371152	516467	592975	358508	325685	320179
ACTBL2	NA	0	0	0	0	7	0
ACTC1	NA	1	0	13	0	1	0
ACTG1	NA	6318	8863	9825	8906	7694	9760
ACTG2	NA	754	128	109	451	3711	402
ACTL10	NA	0	1	0	1	0	0
ACTL6A	NA	1165	2920	2973	1679	1726	1157
ACTL6B	NA	2	0	5	0	0	0
ACTL7A	NA	0	2	0	1	0	0
ACTL7B	NA	1	19	7	13	16	4
ACTL9	NA	0	0	0	2	0	1
ACTN1	NA	2590	992	840	943	1730	1028
ACTN2	NA	37	961	987	4	6	35
ACTN4	NA	9255	7993	8105	9385	9740	14067
ACTR10	NA	2163	3249	2910	5747	5274	3417
ACTR1A	NA	2657	2674	3169	5239	4338	2041
ACTR1B	NA	2591	2512	2681	3899	3221	2086
ACTR2	NA	25280	36297	39782	21715	17727	10301
ACTR3	NA	10389	14480	16109	6298	4481	5555
ACTR3B	NA	23	28	18	481	356	119
ACTR5	NA	54	116	65	74	56	39
ACTR6	NA	485	979	1013	1329	1286	907
ACTR8	NA	569	823	1016	1648	1217	814
ACTRT1	NA	0	0	0	0	1	0
ACTRT2	NA	0	0	1	0	0	0
ACTRT3	NA	17	53	153	0	0	5
ACVR1	NA	453	65	178	834	602	584
ACVR1B	NA	82	67	105	119	60	58
ACVR1C	NA	3	72	79	64	215	86
ACVR2A	NA	177	319	548	879	549	590
ACVR2B	NA	11	7	19	39	11	25
ACVRL1	NA	1624	781	1076	3638	2764	1642
ACY1	NA	85	258	132	574	455	304
ACY3	NA	136	89	52	605	442	202
ACYP1	NA	234	709	471	797	596	556
ACYP2	NA	421	134	150	1311	1226	378
ADA	NA	235	326	238	88	78	49
ADAD1	NA	0	0	1	0	1	0
ADAD2	NA	0	0	2	0	1	0
ADAL	NA	245	226	394	613	601	351
ADAM10	NA	5559	6637	6671	6367	5161	3202
ADAM11	NA	72	39	61	71	166	218
ADAM12	NA	309	79	39	538	345	171
ADAM15	NA	1788	576	633	3959	3220	2083
